 serialno                             | from_price | nameofproperty                               | noofbaths | noofbeds | parkingspace | postalcode | price    | propertyfeatures                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | propertytype                  | to_price
--------------------------------------+------------+----------------------------------------------+-----------+----------+--------------+------------+----------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------+------------
 9d54679d-0852-47af-9356-ef5d0cb953f8 |   $700,000 |                            Greenway ACT 2900 |   3 Baths |   4 Beds |    2 Parking |       2900 | $849,900 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Air conditioning ,  Dishwasher ,  Ensuite ,  Gas ,  Heating ,  Secure Parking ,  Water Views ,  Secure Parking ,  Ensuite ,  Secure Parking ,  Air conditioning ,  Dishwasher ,  Double glazed windows ,  Ensuite ,  Secure Parking ,  |                           N/A |   $850,000
 98b26bc9-fb71-4848-88f8-93e49fe9a681 |   $700,000 |             17 Ross Street, Windsor NSW 2756 |    1 Bath |   3 Beds |    1 Parking |       2756 | $709,950 |  Air conditioning ,  Ensuite ,  Fully fenced ,  Heating ,  Secure Parking ,  Swimming Pool ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Formal Lounge ,  Garden ,  Secure Parking ,  Security Alarm ,  Separate Dining ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Formal Lounge ,  Secure Parking ,  Separate Dining ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Elevated to capture lovely district views ,  Fireplace(s) ,  Floorboards ,  Garden ,  Secure Parking ,  Security Alarm ,  Separate Dining ,  abundant garaging ,  carport suit motor home or large boat ,  corner position providing dual access ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Fireplace(s) ,  Formal Lounge ,  Garden ,  Secure Parking ,  Security Alarm ,  Separate Dining ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Floorboards ,  Formal Lounge ,  Garden ,  Secure Parking ,  Separate Dining ,  Air conditioning ,  Bigger than Most! ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Terrace-Balcony ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Floorboards ,  Garden ,  Secure Parking ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Formal Lounge ,  Garden ,  Secure Parking ,  Separate Dining ,  Air conditioning ,  Close to schools ,  Close to shops ,  Close to transport ,  Fireplace(s) ,  Floorboards ,  Formal Lounge ,  Garden ,  Investment opportunity plus ,  Secure Parking ,  Separate Dining ,  Air conditioning ,  Alarm System ,  Broadband Internet Available ,  Fully fenced ,  Remote Garage ,  Split-System Air Conditioning ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Formal Lounge ,  Garden ,  Indoor heated swimming Pool ,  Secure Parking ,  Security Alarm ,  Separate Dining ,  Swimming Pool ,  grassed playing area for the kids ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Formal Lounge ,  Garden ,  Secure Parking ,  Separate Dining ,  Terrace-Balcony ,  Close to schools ,  Close to shops ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Garden ,  Secure Parking ,  Terrace-Balcony ,  Air conditioning ,  Built in wardrobes ,  Dishwasher ,  Ducted Cooling ,  Ducted Heating ,  Ducted Vacuum System ,  Fully fenced ,  Inground Pool ,  Open Fire Place ,  Outdoor Entertainment Area ,  Outside Spa ,  Shed ,  Split System Air Conditioning ,  Workshop ,  Underground electricity and telecommunications in place. Stunning rural views ,  picturesque lake-like dam. Bird-life and nature on your doorstep. ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Fireplace(s) ,  Formal Lounge ,  Garden ,  QUIET CUL-DE-SAC SEMI RURAL LOCATION ,  Secure Parking ,  Separate Dining ,  Terrace-Balcony ,  Air conditioning ,  Close to schools ,  Close to shops ,  Close to transport ,  Fireplace(s) ,  Air conditioning ,  Balcony ,  Balcony/Patio/Terrace ,  Bath ,  Broadband ,  Built in wardrobes ,  Close To Parklands ,  Close to schools ,  Close to shops ,  Close to transport ,  Deck ,  Dishwasher ,  Entertainment Area ,  Fully fenced ,  Garden ,  Garden Shed ,  Gas Enabled ,  Heating ,  Internal Laundry ,  Living Area ,  Modern Bathroom ,  Modern Kitchen ,  Pets Allowed ,  Quiet Location ,  Renovated ,  Renovated Bathroom ,  Renovated Kitchen ,  Secure Parking ,  Storage Area ,  Views ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Floorboards ,  Garden ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Secure Parking ,  |                           N/A |   $850,000
 351546f0-8a98-44ca-b2d6-3ef9dba71029 |   $850,000 |              51 CAMP STREET, Sutton NSW 2620 |    1 Bath |    1 Bed |    6 Parking |       2620 | $850,000 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Formal Lounge ,  Garden ,  Secure Parking ,  Security Alarm ,  Separate Dining ,  Terrace-Balcony ,  Secure Parking ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Area Views ,  Built in wardrobes ,  Carpeted ,  Close to schools ,  Close to shops ,  Close to transport ,  Openable Windows ,  Air conditioning ,  Built in wardrobes ,  Fireplace(s) ,  Formal Lounge ,  Secure Parking ,  Ensuite ,  Secure Parking ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Fireplace(s) ,  Formal Lounge ,  Garden ,  Secure Parking ,  Separate Dining ,  Ensuite ,  Secure Parking ,  Air conditioning ,  Deck ,  Greywater system ,  Shed ,  Split-System Air Conditioning ,  Split-System Heating ,  Water Tank ,  |                         House | $1,000,000
 cfe1ea6e-3f64-4683-8fc6-21489649d8db |    $50,000 |          5/106 Dwyer Circuit, Driver NT 0830 |    1 Bath |   2 Beds |    2 Parking |        830 | $235,000 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Garden ,  Outdoor Spa ,  |                           N/A |   $250,000
 481d0978-aab8-4995-a5c3-0e4531baf963 |    $50,000 |        5 Kingfisher Court, Tocumwal NSW 2714 |    1 Bath |   2 Beds |    1 Parking |       2714 | $180,000 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Air conditioning ,  Air conditioning ,  Built in wardrobes ,  Formal Lounge ,  Secure Parking ,  Separate Dining ,  Balcony / Deck ,  Air conditioning ,  Heating ,  Fully fenced ,  Air conditioning ,  Built in wardrobes ,  Courtyard ,  Fully fenced ,  Air conditioning ,  Built in wardrobes ,  Fully fenced ,  Open Fireplace ,  Shed ,  Solar panels ,  Split-System Air Conditioning ,  Split-System Heating ,  Built in wardrobes ,  Deck ,  Dishwasher ,  Open Fireplace ,  Reverse Cycle Air Conditioning ,  Air conditioning ,  Air conditioning ,  Built in wardrobes ,  Deck ,  Dishwasher ,  Shed ,  Split-System Air Conditioning ,  |                         House |   $250,000
 ae8a9989-2d19-4539-92b2-0ef5ea2b4dfa |   $400,000 |                 26 Ivy Court, Dubbo NSW 2830 |   2 Baths |   4 Beds |    2 Parking |       2830 | $449,200 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       N/A |                           N/A |   $550,000
 6a236182-2ff8-4c22-9dd4-cae27ea37dcd |   $850,000 |  18/77-81 Burns Bay Road, Lane Cove NSW 2066 |    1 Bath |   3 Beds |    1 Parking |       2066 |      N/A |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       N/A |                           N/A | $1,000,000
 eb4d0ec5-4626-4746-b3c9-972f8c2032d0 |   $850,000 |     Lot 419 Proposed Road, Box Hill NSW 2765 |   3 Baths |   4 Beds |    1 Parking |       2765 | $939,650 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Air conditioning ,  Built in wardrobes ,  Carpet and Tiles ,  Close to schools ,  Close to transport ,  Driveway ,  Fencing ,  Formal Lounge ,  Garden ,  Landscaping ,  Secure Parking ,  Separate Dining ,  Tiled Alfresco ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Secure Parking ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Secure Parking ,  Air conditioning ,  Alarm System ,  Built in wardrobes ,  Dishwasher ,  Ensuite ,  Fully fenced ,  Heating ,  Rainwater storage tank ,  Study ,  Ensuite(s) ,  Ensuite(s) ,  Ensuite(s) ,  Air conditioning ,  Balcony / Deck ,  Bath ,  Broadband internet access ,  Built in wardrobes ,  Cable or Satellite ,  Dishwasher ,  Ensuite ,  Fully fenced ,  Garden / Courtyard ,  Gas ,  Heating ,  Internal Laundry ,  Secure Parking ,  Shed ,  Ensuite(s) ,  Air conditioning ,  Bath ,  Broadband ,  Built in wardrobes ,  Deck ,  Dishwasher ,  Ensuite ,  Fully fenced ,  Internal Laundry ,  Remote control garage ,  formal lounge ,  modern bathroom ,  modern kitchen ,  newly built property ,  separate din ,  Air conditioning ,  Built in wardrobes ,  Garden ,  Secure Parking ,  Security Alarm ,  Air conditioning ,  Alarm System ,  Bath ,  Broadband internet access ,  Built in wardrobes ,  Dishwasher ,  Ensuite ,  Gas ,  Internal Laundry ,  Air conditioning ,  Alarm System ,  Built in wardrobes ,  Deck ,  Dishwasher ,  Secure Parking ,  Separate Laundry ,  Air conditioning ,  Built in wardrobes ,  Close to schools ,  Close to shops ,  Close to transport ,  Home and Land Package with Registered Land and Ready to Build ,  Secure Parking ,  - 7% Guaranteed Leaseback for life of lease - $1265 rent a week - Upgraded fittings and fixtures throughout - Fully ducted air conditioning system - Designer landscaping; including decking and paving - Fully fenced with security system - Window coverings and raised ceilings all included ,  Fully fenced ,  Air conditioning ,  Alarm System ,  Balcony/Patio/Terrace ,  Bath ,  Broadband ,  Built in wardrobes ,  Close To Parklands ,  Close to schools ,  Close to shops ,  Close to transport ,  Dishwasher ,  Entertainment Area ,  Fireplace(s) ,  Formal Lounge ,  Fully fenced ,  Garden ,  Heating ,  Inside Spa ,  Internal Laundry ,  Level Lawn ,  Living Area ,  Modern Bathroom ,  Modern Kitchen ,  Non Smoking ,  Pay Tv Enabled ,  Pets Allowed ,  Quiet Location ,  Rainwater storage tank ,  Rumpus Room ,  Secure Parking ,  Security Lights ,  Solar panels ,  Storage Area ,  Study ,  Swimming/Lap Pool ,  Air conditioning ,  Alarm System ,  Bath ,  Broadband internet access ,  Built in wardrobes ,  Dishwasher ,  Energy efficient appliances ,  Ensuite ,  Floorboards ,  Heating ,  Internal Laundry ,  Rainwater storage tank ,  Secure Parking ,  Wall / ceiling insulation ,  Water efficient appliances ,  |              New House & Land | $1,000,000
 0e9794ff-a4a1-4179-afa3-0b590912281f | $1,200,000 |    34-40A Falcon Street, Crows Nest NSW 2065 |   2 Baths |   2 Beds |    1 Parking |       2065 |    $1.31 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Air Conditioning ,  Built-In Wardrobes ,  Close to Schools ,  Close to Shops ,  Close to Transport ,  Ensuite ,  Intercom ,  Security Access ,  Air conditioning ,  Balcony / Deck ,  Bath ,  Broadband internet access ,  Built in wardrobes ,  Cable or Satellite ,  Dishwasher ,  Double glazed windows ,  Energy efficient appliances ,  Ensuite ,  Floorboards ,  Greywater system ,  Intercom ,  Internal Laundry ,  Pets allowed ,  Secure parking ,  Study ,  Wall / ceiling insulation ,  Water efficient appliances ,  Water efficient fixtures ,  Air conditioning ,  Balcony / Deck ,  Built in wardrobes ,  City Views ,  Dishwasher ,  Ensuite ,  Ensuite(s) ,  Gas ,  Gym ,  Indoor Spa ,  Intercom ,  Internal Laundry ,  Secure Parking ,  Swimming Pool ,  Water Views ,  Air conditioning ,  Balcony / Deck ,  Bath ,  Broadband internet access ,  Built in wardrobes ,  Dishwasher ,  Ensuite ,  Ensuite(s) ,  Gas ,  Gym ,  Indoor Spa ,  Intercom ,  Internal Laundry ,  Secure Parking ,  Secure parking ,  Swimming Pool ,  Air Conditioning ,  Built-In Wardrobes ,  Close to Schools ,  Close to Shops ,  Close to Transport ,  Pool ,  Secure Parking ,  Terrace-Balcony ,  Air conditioning ,  Balcony / Deck ,  Broadband internet access ,  Built in wardrobes ,  Dishwasher ,  Ensuite ,  Fully fenced ,  Gas ,  Intercom ,  Internal Laundry ,  North Facing ,  Secure Parking ,  Swimming Pool ,  Air conditioning ,  Alarm System ,  Balcony / Deck ,  Broadband internet access ,  Built in wardrobes ,  City Views ,  Dishwasher ,  Floorboards ,  Fully fenced ,  Garden / Courtyard ,  Gas ,  Gym ,  Heating ,  Intercom ,  Internal Laundry ,  North Facing ,  Pets allowed ,  Secure Parking ,  Swimming Pool ,  Water Views ,  Air conditioning ,  Alarm System ,  Broadband internet access ,  Built in wardrobes ,  City Views ,  Dishwasher ,  Floorboards ,  Gas ,  Gym ,  Heating ,  Intercom ,  Internal Laundry ,  North Facing ,  Pets allowed ,  Water Views ,  Air conditioning ,  Balcony / Deck ,  Broadband internet access ,  Built in wardrobes ,  Cable or Satellite ,  Dishwasher ,  Ensuite ,  Ensuite(s) ,  Gas ,  Gym ,  Heating ,  Indoor Spa ,  Intercom ,  Internal Laundry ,  Pets allowed ,  Secure Parking ,  Secure parking ,  Swimming Pool ,  Air conditioning ,  Balcony / Deck ,  Broadband internet access ,  Built in wardrobes ,  Gym ,  Intercom ,  Secure Parking ,  Air Conditioning ,  Balcony ,  Built-in Wardrobes ,  Dishwasher ,  Floorboards ,  Intercom ,  Secure Parking ,  Study ,  Air conditioning ,  Balcony / Deck ,  Broadband internet access ,  Built in wardrobes ,  Cable or Satellite ,  Dishwasher ,  Ensuite ,  Gas ,  Gym ,  Heating ,  Indoor Spa ,  Intercom ,  Internal Laundry ,  North Facing ,  Pets allowed ,  Secure Parking ,  Swimming Pool ,  Air conditioning ,  Balcony / Deck ,  Bath ,  Broadband internet access ,  Built in wardrobes ,  Dishwasher ,  Ensuite ,  Floorboards ,  Gas ,  Gym ,  Intercom ,  Internal Laundry ,  Secure Parking ,  Swimming Pool ,  Air conditioning ,  Alarm System ,  Balcony / Deck ,  Built in wardrobes ,  Dishwasher ,  Gym ,  Intercom ,  Internal Laundry ,  North Facing ,  Secure Parking ,  Swimming Pool ,  Air Conditioning ,  Balcony ,  Built-in Wardrobes ,  Courtyard ,  Dishwasher ,  Floorboards ,  Intercom ,  Secure Parking ,  | New Apartments / Off the Plan | $1,400,000
